city,datetime,temperature,humidity,description,wind_speed
New Delhi,2025-07-02 06:00:00,34.23,49,few clouds,3.73
New Delhi,2025-07-02 09:00:00,35.03,46,light rain,4.57
New Delhi,2025-07-02 12:00:00,35.08,41,broken clouds,4.13
New Delhi,2025-07-02 15:00:00,34.61,40,broken clouds,2.79
New Delhi,2025-07-02 18:00:00,32.86,42,broken clouds,2.59
New Delhi,2025-07-02 21:00:00,34.93,44,overcast clouds,1.38
New Delhi,2025-07-03 00:00:00,33.9,48,broken clouds,1.94
New Delhi,2025-07-03 03:00:00,35.14,45,broken clouds,1.95
New Delhi,2025-07-03 06:00:00,37.17,40,broken clouds,1.72
New Delhi,2025-07-03 09:00:00,39.24,33,few clouds,2.83
New Delhi,2025-07-03 12:00:00,36.46,41,light rain,1.95
New Delhi,2025-07-03 15:00:00,35.89,43,light rain,2.32
New Delhi,2025-07-03 18:00:00,35.36,45,light rain,2.09
New Delhi,2025-07-03 21:00:00,34.91,47,broken clouds,1.66
New Delhi,2025-07-04 00:00:00,33.73,51,light rain,1.02
New Delhi,2025-07-04 03:00:00,35.23,48,broken clouds,0.55
New Delhi,2025-07-04 06:00:00,37.61,41,light rain,2.79
New Delhi,2025-07-04 09:00:00,35.99,47,light rain,4.24
New Delhi,2025-07-04 12:00:00,36.33,45,light rain,2.02
New Delhi,2025-07-04 15:00:00,32.74,60,light rain,5.04
New Delhi,2025-07-04 18:00:00,30.39,70,moderate rain,3.18
New Delhi,2025-07-04 21:00:00,30.86,67,light rain,3.49
New Delhi,2025-07-05 00:00:00,30.23,69,moderate rain,3.99
New Delhi,2025-07-05 03:00:00,29.05,72,moderate rain,3.64
New Delhi,2025-07-05 06:00:00,31.71,59,overcast clouds,2.48
New Delhi,2025-07-05 09:00:00,32.78,56,overcast clouds,1.67
New Delhi,2025-07-05 12:00:00,34.94,49,overcast clouds,1.43
New Delhi,2025-07-05 15:00:00,34.28,53,light rain,0.39
New Delhi,2025-07-05 18:00:00,33.76,55,light rain,1.6
New Delhi,2025-07-05 21:00:00,32.45,60,light rain,3.0
New Delhi,2025-07-06 00:00:00,31.75,62,light rain,2.94
New Delhi,2025-07-06 03:00:00,31.57,62,moderate rain,2.97
New Delhi,2025-07-06 06:00:00,35.11,50,overcast clouds,2.82
New Delhi,2025-07-06 09:00:00,35.49,48,light rain,2.5
New Delhi,2025-07-06 12:00:00,35.92,47,light rain,1.72
New Delhi,2025-07-06 15:00:00,35.42,48,scattered clouds,0.76
New Delhi,2025-07-06 18:00:00,34.31,53,light rain,2.78
New Delhi,2025-07-06 21:00:00,33.75,54,overcast clouds,2.63
New Delhi,2025-07-07 00:00:00,29.85,75,moderate rain,1.62
New Delhi,2025-07-07 03:00:00,27.03,82,heavy intensity rain,1.65
Mumbai,2025-07-02 06:00:00,27.32,85,moderate rain,8.96
Mumbai,2025-07-02 09:00:00,27.37,84,moderate rain,10.03
Mumbai,2025-07-02 12:00:00,27.39,85,moderate rain,9.92
Mumbai,2025-07-02 15:00:00,27.47,85,moderate rain,9.62
Mumbai,2025-07-02 18:00:00,27.26,84,moderate rain,9.86
Mumbai,2025-07-02 21:00:00,27.33,83,moderate rain,9.45
Mumbai,2025-07-03 00:00:00,27.63,81,light rain,9.03
Mumbai,2025-07-03 03:00:00,27.54,81,moderate rain,7.97
Mumbai,2025-07-03 06:00:00,27.74,82,light rain,8.1
Mumbai,2025-07-03 09:00:00,27.78,81,moderate rain,8.84
Mumbai,2025-07-03 12:00:00,27.8,81,light rain,9.32
Mumbai,2025-07-03 15:00:00,27.4,83,light rain,9.39
Mumbai,2025-07-03 18:00:00,27.39,83,light rain,10.14
Mumbai,2025-07-03 21:00:00,27.22,83,light rain,10.49
Mumbai,2025-07-04 00:00:00,27.24,83,light rain,9.93
Mumbai,2025-07-04 03:00:00,27.5,80,light rain,9.28
Mumbai,2025-07-04 06:00:00,27.62,80,light rain,9.31
Mumbai,2025-07-04 09:00:00,27.62,81,light rain,9.34
Mumbai,2025-07-04 12:00:00,27.65,80,light rain,9.5
Mumbai,2025-07-04 15:00:00,27.29,81,light rain,9.75
Mumbai,2025-07-04 18:00:00,27.28,82,light rain,9.81
Mumbai,2025-07-04 21:00:00,27.26,83,light rain,10.01
Mumbai,2025-07-05 00:00:00,27.11,84,moderate rain,10.29
Mumbai,2025-07-05 03:00:00,27.31,83,light rain,9.51
Mumbai,2025-07-05 06:00:00,27.25,84,moderate rain,9.67
Mumbai,2025-07-05 09:00:00,27.58,82,moderate rain,9.86
Mumbai,2025-07-05 12:00:00,27.39,82,light rain,9.85
Mumbai,2025-07-05 15:00:00,27.69,84,moderate rain,10.3
Mumbai,2025-07-05 18:00:00,27.65,83,moderate rain,10.59
Mumbai,2025-07-05 21:00:00,27.61,82,light rain,11.01
Mumbai,2025-07-06 00:00:00,27.64,83,light rain,10.72
Mumbai,2025-07-06 03:00:00,27.62,82,light rain,9.76
Mumbai,2025-07-06 06:00:00,28.0,82,light rain,10.22
Mumbai,2025-07-06 09:00:00,28.0,81,light rain,10.82
Mumbai,2025-07-06 12:00:00,27.71,82,light rain,11.15
Mumbai,2025-07-06 15:00:00,27.61,82,light rain,10.7
Mumbai,2025-07-06 18:00:00,27.67,82,light rain,10.89
Mumbai,2025-07-06 21:00:00,27.4,82,light rain,10.41
Mumbai,2025-07-07 00:00:00,27.22,82,light rain,9.87
Mumbai,2025-07-07 03:00:00,27.68,82,light rain,9.71
Bengaluru,2025-07-02 06:00:00,25.88,60,overcast clouds,8.9
Bengaluru,2025-07-02 09:00:00,25.49,58,light rain,8.81
Bengaluru,2025-07-02 12:00:00,25.7,59,light rain,8.38
Bengaluru,2025-07-02 15:00:00,25.05,74,light rain,7.23
Bengaluru,2025-07-02 18:00:00,21.51,77,overcast clouds,7.03
Bengaluru,2025-07-02 21:00:00,20.72,78,overcast clouds,6.97
Bengaluru,2025-07-03 00:00:00,20.57,77,overcast clouds,6.57
Bengaluru,2025-07-03 03:00:00,21.72,71,overcast clouds,7.45
Bengaluru,2025-07-03 06:00:00,23.86,61,overcast clouds,7.93
Bengaluru,2025-07-03 09:00:00,26.06,53,overcast clouds,8.16
Bengaluru,2025-07-03 12:00:00,25.4,55,overcast clouds,7.85
Bengaluru,2025-07-03 15:00:00,22.45,64,overcast clouds,7.16
Bengaluru,2025-07-03 18:00:00,20.9,69,overcast clouds,6.11
Bengaluru,2025-07-03 21:00:00,19.76,77,overcast clouds,5.98
Bengaluru,2025-07-04 00:00:00,19.27,81,overcast clouds,6.09
Bengaluru,2025-07-04 03:00:00,22.02,66,overcast clouds,8.68
Bengaluru,2025-07-04 06:00:00,27.08,48,overcast clouds,9.73
Bengaluru,2025-07-04 09:00:00,26.83,50,overcast clouds,8.64
Bengaluru,2025-07-04 12:00:00,26.13,53,overcast clouds,7.5
Bengaluru,2025-07-04 15:00:00,22.38,65,overcast clouds,7.49
Bengaluru,2025-07-04 18:00:00,20.9,71,overcast clouds,6.89
Bengaluru,2025-07-04 21:00:00,19.79,78,broken clouds,6.57
Bengaluru,2025-07-05 00:00:00,19.35,79,broken clouds,6.28
Bengaluru,2025-07-05 03:00:00,22.01,67,overcast clouds,8.72
Bengaluru,2025-07-05 06:00:00,26.54,51,overcast clouds,10.07
Bengaluru,2025-07-05 09:00:00,28.49,44,overcast clouds,10.07
Bengaluru,2025-07-05 12:00:00,26.65,50,overcast clouds,9.02
Bengaluru,2025-07-05 15:00:00,22.71,63,overcast clouds,8.07
Bengaluru,2025-07-05 18:00:00,21.2,71,overcast clouds,7.55
Bengaluru,2025-07-05 21:00:00,20.1,77,overcast clouds,6.78
Bengaluru,2025-07-06 00:00:00,19.87,78,overcast clouds,7.04
Bengaluru,2025-07-06 03:00:00,22.32,65,overcast clouds,8.62
Bengaluru,2025-07-06 06:00:00,27.49,46,overcast clouds,9.43
Bengaluru,2025-07-06 09:00:00,27.76,43,overcast clouds,9.17
Bengaluru,2025-07-06 12:00:00,27.16,46,overcast clouds,8.18
Bengaluru,2025-07-06 15:00:00,23.1,63,overcast clouds,7.7
Bengaluru,2025-07-06 18:00:00,21.16,70,overcast clouds,6.62
Bengaluru,2025-07-06 21:00:00,20.23,74,overcast clouds,6.61
Bengaluru,2025-07-07 00:00:00,19.47,78,overcast clouds,5.98
Bengaluru,2025-07-07 03:00:00,22.6,63,overcast clouds,8.23
Chennai,2025-07-02 06:00:00,33.95,53,overcast clouds,6.99
Chennai,2025-07-02 09:00:00,34.0,50,overcast clouds,7.59
Chennai,2025-07-02 12:00:00,30.49,63,light rain,4.82
Chennai,2025-07-02 15:00:00,29.42,65,light rain,3.52
Chennai,2025-07-02 18:00:00,30.39,59,light rain,2.97
Chennai,2025-07-02 21:00:00,29.77,59,overcast clouds,3.29
Chennai,2025-07-03 00:00:00,28.85,60,overcast clouds,5.34
